Squad,Season,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atlanta Utd,2021,30,24,16.7,10.7,8.42,6.79,1.5,4.92,14.3,34.4,9.38,144.6,41.1,28.4,53.5,63.9,27.3,12.5,3.58,0,8.92,15.5,32.2,18.3,0.38
Austin FC,2021,24,24,16.9,10.1,9.79,4.54,2.58,5.13,16.6,30.9,11.5,153.4,43,28,56.3,58.7,38.4,14.7,4.5,0.04,10.2,12.1,29,19.5,0.33
CF Montréal,2021,26,24,14.8,9.17,7.46,5.42,1.92,5.46,14.5,37.8,9,149.4,42.9,28.7,46.6,65.8,37,13.8,3.25,0,10.6,13.8,28.5,19.6,0.21
Chicago Fire,2021,24,24,20,12.2,8.75,8.33,2.96,6.38,17,37.5,10.6,143.5,44.5,31,43.5,63.8,36.3,14.7,4.13,0.04,10.5,17.1,37.2,24.5,0.46
Colorado Rapids,2021,26,23,15.7,10.3,7.39,6.04,2.26,5.09,13.9,36.6,8.83,149.6,38,25.4,44,71.2,34.4,11.9,3.43,0.22,8.43,13.2,28.9,19.1,0.26
Columbus Crew,2021,26,25,15.8,9.84,8.4,5.48,1.88,5.56,13.3,41.7,7.76,147.2,42,28.5,50.6,62.7,33.9,13.6,4.56,0.16,9.08,15.2,31,21.4,0.24
D.C. United,2021,29,24,20.1,12.3,9.54,8.13,2.42,6.33,17.1,37,10.8,167,51,30.5,50.5,75.8,40.7,13.4,2.5,0.17,10.9,17.6,37.7,26,0.29
FC Cincinnati,2021,27,23,21.6,14,12,7.13,2.48,6.65,19,35,12.3,168,47.1,28.1,62.3,72,33.7,14.8,3.83,0.04,11,15.1,36.7,22.5,0.48
FC Dallas,2021,26,25,18.6,12.1,9.6,6.72,2.32,6.68,18.4,36.2,11.8,161.2,47.3,29.3,57.4,67.2,36.6,13.2,3.48,0.04,9.76,15.7,34.3,22.1,0.24
Houston Dynamo,2021,28,25,16.1,10.4,7.4,5.88,2.84,4.64,12.3,37.7,7.68,143.4,41.1,28.7,45.4,60,38,13.2,3.44,0,9.76,14.7,30.8,21.2,0.32
Inter Miami,2021,24,23,18.8,11.4,9.48,7.17,2.13,6.22,16.7,37.1,10.5,165.2,46.2,28,54.3,76.9,34,11.4,2.48,0.13,8.96,14.9,33.7,19.6,0.39
LA Galaxy,2021,29,24,16.8,11.4,8.83,6.13,1.79,6.5,16,40.5,9.54,143.6,39.9,27.8,51.3,61.9,30.5,13.4,3.63,0.13,9.75,13.5,30.3,20.8,0.21
Los Angeles FC,2021,28,24,20.5,13,9.46,7.08,3.92,7.21,18.3,39.3,11.1,185.2,55.9,30.2,55.1,77.2,52.8,14.3,2.21,0,12.1,18.1,38.6,19.9,0.21
Minnesota Utd,2021,27,23,17.4,12.3,7.57,7.3,2.52,5.57,15.7,35.6,10.1,162.8,49,30.1,47.9,71,43.9,13.5,2.87,0.13,10.6,15.1,32.5,19.5,0.22
Nashville,2021,28,23,17.4,10.5,8.48,6.74,2.22,6,15.2,39.5,9.17,162.1,44.7,27.6,54,75.8,32.3,12.4,3.52,0.04,8.91,14,31.4,22.5,0.04
New England,2021,24,25,17.1,10.5,8.08,6.32,2.68,5.44,14.8,36.8,9.36,161.5,46.3,28.7,54.9,67.6,39,14.5,3.56,0.08,10.9,15.1,32.2,26,0.12
NY Red Bulls,2021,27,22,22.6,13.8,9.45,9.41,3.73,7.5,19,39.4,11.5,208.5,67.4,32.3,58.5,93.3,56.8,17,2.41,0,14.6,20.9,43.5,28.1,0.18
NYCFC,2021,26,23,17.8,10.8,7.43,7.65,2.7,6,16.5,36.4,10.5,159.8,45.6,28.5,44.9,71.3,43.6,13.8,2.17,0.04,11.6,13.7,31.5,22.7,0.26
Orlando City,2021,29,24,16.3,10.5,9.13,5.83,1.29,5.25,16.6,31.7,11.3,160,41.7,26,54.8,70.6,34.5,12.4,3.58,0.17,8.79,14.2,30.5,21.8,0.33
Philadelphia,2021,26,23,20.2,12.8,10.1,7.61,2.48,6.04,16.5,36.6,10.5,165,49,29.7,53.7,72.1,39.2,13.6,2.57,0,11,16.6,36.8,22.7,0.22
