Squad,Different Players Played,Matches Played,Goals/90,Shots/90,Shots on Target/90,Shots on Target%,Goals/Shot,Goals/Shot on Target,Distance,Shooting Free Kicks,Penalty Kicks Made,Penalty Kicks Attmepted,xG,Non-penalty xG,npxG/Shot
Atlanta Utd 20,27,23,1,9.09,3.35,36.8,0.1,0.26,18.3,0.91,0.13,0.17,0.94,0.8,0.09
Chicago Fire 20,25,23,1.43,13.5,4.57,33.8,0.1,0.3,17.5,0.35,0.09,0.17,1.69,1.56,0.12
Colorado Rapids 20,22,18,1.67,13.9,5.28,38,0.12,0.32,18,0.17,0,0,1.43,1.43,0.11
Columbus Crew 20,26,23,1.48,10.6,3.83,36.2,0.14,0.38,17.3,0.43,0.04,0.17,1.34,1.2,0.11
D.C. United 20,26,23,1.04,9.22,3.13,34,0.09,0.28,17.6,0.39,0.17,0.17,0.95,0.82,0.09
FC Cincinnati 20,30,23,0.48,10.1,2.91,28.9,0.04,0.15,18.6,0.74,0.04,0.09,0.97,0.9,0.09
FC Dallas 20,27,22,1.27,12.5,4.64,37.2,0.09,0.25,16.6,0.23,0.14,0.14,1.45,1.34,0.11
Houston Dynamo 20,26,23,1.3,14.1,4.91,34.9,0.09,0.25,18.4,0.57,0.09,0.17,1.57,1.44,0.11
Inter Miami 20,28,23,1.04,12.7,3.91,30.8,0.08,0.26,16.3,0.39,0.04,0.09,1.25,1.19,0.09
LA Galaxy 20,25,22,1.18,11.2,4,35.8,0.09,0.26,15.9,0.32,0.14,0.18,1.21,1.07,0.1
Los Angeles FC 20,28,22,2.05,16,6,37.4,0.12,0.33,17.6,1.09,0.09,0.09,1.89,1.82,0.12
Minnesota Utd 20,28,21,1.57,13.4,4.76,35.5,0.11,0.31,18.3,0.67,0.1,0.14,1.42,1.31,0.1
Montreal Impact 20,26,23,1.43,10.4,3.96,37.9,0.12,0.32,17,0.22,0.17,0.17,1.2,1.07,0.11
Nashville 20,26,23,1.04,11.8,4.04,34.2,0.09,0.26,17.5,0.3,0,0.04,1.04,1.01,0.09
New England 20,25,23,1.09,14.4,4.43,30.7,0.07,0.24,16.7,0.39,0.04,0.13,1.43,1.33,0.09
NY Red Bulls 20,27,23,1.26,10.6,3.74,35.4,0.12,0.33,17.3,0.22,0.04,0.04,1.22,1.19,0.12
NYCFC 20,22,23,1.57,15.5,5.96,38.5,0.09,0.24,16.8,0.48,0.13,0.13,1.65,1.55,0.1
Orlando City 20,28,23,1.7,11.3,4.13,36.4,0.15,0.4,17.4,0.74,0.04,0.04,1.39,1.36,0.12
Philadelphia 20,23,23,1.87,12.7,5.3,41.6,0.14,0.34,17,0.26,0.09,0.09,1.54,1.48,0.12
Portland Timbers 20,27,23,2,11.2,4.48,40.1,0.17,0.42,16.7,0.48,0.13,0.13,1.37,1.27,0.12
Real Salt Lake 20,26,22,1.05,12.5,3.32,26.4,0.08,0.29,17.7,0.32,0.09,0.14,1.2,1.09,0.09
San Jose 20,27,23,1.48,13,4.78,36.8,0.1,0.27,18.3,0.65,0.17,0.22,1.4,1.23,0.1
Seattle 20,27,22,1.91,12.6,4.23,33.6,0.13,0.4,16.2,0.32,0.23,0.23,1.9,1.73,0.14
Sporting KC 20,23,21,1.76,14.6,4.67,31.9,0.12,0.37,17.8,0.86,0.05,0.05,1.58,1.54,0.11
Toronto FC 20,29,23,1.43,12.1,4.78,39.4,0.1,0.25,17.3,0.48,0.22,0.26,1.56,1.37,0.12
