Rk,Squad,Season,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,NY Red Bulls,2018,34,22,5,7,62,33,+29,71,59.6,42,+17.6,+0.52,18601,Bradley Wright-Phillips - 20,Luis Robles,→ Conference Semifinals
2,Atlanta Utd,2018,34,21,6,7,70,44,+26,69,71.4,37.8,+33.6,+0.99,53002,Josef Martínez - 31,Brad Guzan,→ Conference Semifinals
3,NYCFC,2018,34,16,8,10,59,45,+14,56,55.2,40.9,+14.3,+0.43,23211,David Villa - 14,Sean Johnson,→ Knockout round
4,D.C. United,2018,34,14,9,11,60,50,+10,51,46.7,48.2,-1.6,-0.05,17635,Wayne Rooney - 12,David Ousted,→ Knockout round
5,Columbus Crew,2018,34,14,9,11,43,45,-2,51,48.1,38.1,+10.0,+0.29,12447,Gyasi Zardes - 19,Zack Steffen,→ Knockout round
6,Philadelphia,2018,34,15,5,14,49,50,-1,50,53.2,50.2,+3.0,+0.09,16518,Fafà Picault Cory Burke - 10,Andre Blake,→ Knockout round
7,Montreal Impact,2018,34,14,4,16,47,53,-6,46,42.5,50.3,-7.8,-0.23,18569,Ignacio Piatti - 16,Evan Bush,
8,New England,2018,34,10,11,13,49,55,-6,41,43.1,50.6,-7.5,-0.22,18347,Cristian Penilla - 12,Matt Turner,
9,Toronto FC,2018,34,10,6,18,59,64,-5,36,58.4,54.7,+3.7,+0.11,26628,Sebastian Giovinco - 13,Alex Bono,
10,Chicago Fire,2018,34,8,8,18,48,61,-13,32,39.7,59.9,-20.2,-0.59,14806,Nemanja Nikolić - 15,Richard Sánchez,
11,Orlando City,2018,34,8,4,22,43,74,-31,28,45,63,-17.9,-0.53,23866,Dom Dwyer - 13,Joe Bendik,
1,Sporting KC,2018,34,18,8,8,65,40,+25,62,57.5,42.9,+14.6,+0.44,19950,Dániel Sallói - 11,Tim Melia,→ Conference Semifinals
2,Seattle,2018,34,18,5,11,52,37,+15,59,46.5,44.7,+1.7,+0.05,40641,Raúl Ruidíaz - 10,Stefan Frei,→ Conference Semifinals
3,Los Angeles FC,2018,34,16,9,9,68,52,+16,57,59.8,45.6,+14.2,+0.43,22042,Carlos Vela - 14,Tyler Miller,→ Knockout round
4,FC Dallas,2018,34,16,9,9,52,44,+8,57,50.8,40.7,+10.1,+0.31,15512,Maximiliano Urruti Roland Lamah - 8,Jesse Gonzalez,→ Knockout round
5,Portland Timbers,2018,34,15,9,10,54,48,+6,54,49.7,44.8,+4.9,+0.14,21144,Diego Valeri Sebastián Blanco - 10,Jeff Attinella,→ Knockout round
6,Real Salt Lake,2018,34,14,7,13,55,58,-3,49,47.9,53.8,-5.8,-0.17,18605,Damir Kreilach - 12,Nick Rimando,→ Knockout round
7,LA Galaxy,2018,34,13,9,12,66,64,+2,48,48.9,54.7,-5.9,-0.17,24444,Zlatan Ibrahimović - 22,David Bingham,
8,Vancouver,2018,34,13,8,13,54,67,-13,47,50.4,57.6,-7.2,-0.21,21946,Kei Kamara - 14,Stefan Marinovic,
9,Houston Dynamo,2018,34,10,8,16,58,58,0,38,53,51.2,+1.8,+0.05,16906,Mauro Manotas - 19,Joe Willis,
10,Minnesota Utd,2018,34,11,3,20,49,71,-22,36,43.1,53.9,-10.7,-0.32,23902,Darwin Quintero - 11,Bobby Shuttleworth,
11,Colorado Rapids,2018,34,8,7,19,36,63,-27,31,35.3,61.2,-25.9,-0.76,15333,Dominique Badji - 7,Tim Howard,
12,San Jose,2018,34,4,9,21,49,71,-22,21,41.9,61.1,-19.2,-0.56,19032,Danny Hoesen - 12,Andrew Tarbell,
1,NYCFC,2019,34,18,10,6,63,42,+21,64,51.8,44.6,+7.2,+0.22,21107,Héber - 15,Sean Johnson,→ Conference Semifinals
2,Atlanta Utd,2019,34,18,4,12,58,43,+15,58,56.7,42.6,+14.1,+0.41,52510,Josef Martínez - 27,Brad Guzan,→ Round 1
3,Philadelphia,2019,34,16,7,11,58,50,+8,55,54.8,41.8,+13.0,+0.38,17111,Kacper Przybyłko - 15,Andre Blake,→ Round 1
4,Toronto FC,2019,34,13,11,10,57,52,+5,50,48.1,49.4,-1.4,-0.04,25048,Alejandro Pozuelo - 12,Quentin Westberg,→ Round 1
5,D.C. United,2019,34,13,11,10,42,38,+4,50,37.8,48.1,-10.3,-0.3,17744,Wayne Rooney - 11,Bill Hamid,→ Round 1
6,NY Red Bulls,2019,34,14,6,14,53,51,+2,48,49.6,49.6,0,0,17751,Daniel Royer - 11,Luis Robles,→ Round 1
7,New England,2019,34,11,12,11,50,57,-7,45,44.8,54.9,-10.1,-0.3,16737,Carles Gil - 10,Matt Turner,→ Round 1
