Squad,season,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atlanta Utd,2021,30,23,1.96,0.09,0,11.7,14.6,1.74,12.2,15.7,10.6,0.22,0.13,0,67.5,12.5,13.6,47.9
Austin FC,2021,24,23,1.57,0.09,0.04,9.65,10.1,1.39,13.8,12,9.7,0.04,0.04,0,68.3,11.8,11.5,50.7
CF Montréal,2021,26,23,2.17,0.17,0.09,12.2,11,1.57,9.7,13.8,9.26,0.09,0.17,0,72.6,11.1,10.4,51.6
Chicago Fire,2021,24,23,1.65,0.09,0,12.9,12.6,1.74,12.6,16.7,12.3,0,0.04,0.09,81,18.4,18.2,50.3
Colorado Rapids,2021,26,22,2.23,0,0,13.1,8.64,1.68,11.3,13.4,10.5,0.09,0.05,0.05,66.9,14.2,12.1,53.9
Columbus Crew,2021,26,25,1.64,0.04,0.04,10.1,12.6,1.52,11.7,15.2,9.84,0.08,0.12,0,71.7,13.6,15,47.6
D.C. United,2021,29,23,1.96,0.09,0.04,14.6,12,1.35,11.9,18,12.3,0.17,0.04,0.22,83.4,17.3,18.3,48.7
FC Cincinnati,2021,27,22,2.32,0,0,12.4,12.5,1.95,7.91,15,14,0.05,0.05,0.05,66.1,10,12.4,44.7
FC Dallas,2021,26,25,2.44,0,0,12.9,11.3,1.44,10.2,15.7,12.1,0.04,0.24,0.04,73.2,13.3,12.1,52.3
Houston Dynamo,2021,28,24,2,0.04,0,13.5,11.3,1.96,13.1,14.7,10.3,0.08,0.08,0.04,77.9,14.4,15.4,48.3
Inter Miami,2021,24,23,2.39,0.09,0.04,13,12.5,1.91,9.96,14.9,11.4,0.13,0.13,0.04,64.6,11.3,11.4,49.7
LA Galaxy,2021,29,23,1.52,0.04,0,11.4,10.4,1.65,12.3,13.8,11.6,0.13,0.17,0.04,70.5,11.4,9.43,54.8
Los Angeles FC,2021,28,23,1.39,0.04,0,12.3,11.6,1.61,9.96,18.3,13.3,0.13,0,0,87.3,12.7,13.6,48.3
Minnesota Utd,2021,26,22,1.59,0.05,0,13.2,11.3,1.41,11.8,15.4,12.5,0.05,0.09,0.05,83.4,14.7,15.7,48.3
Nashville,2021,28,23,1.61,0.04,0,12.2,10.7,1.91,13.1,14,10.5,0.04,0.04,0,71.4,17,14.2,54.5
New England,2021,24,25,1.84,0.12,0.08,11.2,12.5,1.16,13.7,15.1,10.5,0.12,0.08,0.04,75.8,17.4,16.5,51.4
NY Red Bulls,2021,27,22,2.32,0.09,0.09,14.3,10.6,1.68,12.6,20.9,13.8,0.09,0.18,0,100.5,22.3,23.2,49.1
NYCFC,2021,26,23,2.26,0.22,0.13,14.6,10.6,1.65,11.3,13.7,10.8,0.09,0.09,0.04,81.6,15.3,13.1,53.9
Orlando City,2021,29,23,1.83,0,0,12.1,12,1.39,10.3,14.5,10.3,0.13,0.04,0.09,69.9,14,13.1,51.6
Philadelphia,2021,26,23,2.22,0.09,0,12.4,9.7,1.83,16.8,16.6,12.8,0.04,0.17,0.09,82,19.4,18.6,51.1
Portland Timbers,2021,29,23,2.04,0.04,0.04,12.3,11.4,0.96,11.3,17.4,11.4,0.13,0.17,0.04,71.8,13.6,13,51.2
Real Salt Lake,2021,25,23,2.43,0.04,0.04,10.3,9.52,1.17,12.7,13.5,8.39,0.09,0.17,0.09,71.1,15.2,15.5,49.5
San Jose,2021,23,23,2.3,0.17,0.04,12.1,13.4,1.13,11.7,17.8,11.6,0.04,0.09,0.13,71.9,11.5,12.2,48.4
